name,price,url
"Dell Inspiron 5570 /i7 /8thGen/ 8GB /1TBHDD /15.6""/TOUCH Laptop",78000.00,https://www.daraz.com.np/products/dell-inspiron-5570-i7-8thgen-8gb-1tbhdd-touch156-laptop-i147182-s2192668.html?search=1
"HP Spectre 13 X360/ i7 /8th Gen / 16GB / 512GB/ 13.3 Notebook - Laptop""",170000.00,https://www.daraz.com.np/products/hp-spectre-13-x360-i7-8th-gen-16gb-512gb-133-notebook-laptop-i25778-s80998.html?search=1
Dell Inspiron 15 3582 Intel Celeron/ 4000U 8th Gen Processor/ 4 GB DDR4 RAM /500GB HDD /Intel 2 GB Graphics/ 15.6 HD Laptop,33000.00,https://www.daraz.com.np/products/dell-inspiron-15-3582-intel-celeron-4000u-8th-gen-processor-4-gb-ddr4-ram-500gb-hdd-intel-2-gb-graphics-156-hd-laptop-i101216833-s1021950693.html?search=1
"Acer Predator Helios 300 Core i7/ 8th gen/ 256GB/ 16GB DDR4 RAM/ 15.6"" screen/ 6 GB NVIDIA 1060 GFX/ WIN10",144000.00,https://www.daraz.com.np/products/acer-predator-helios-300-core-i7-8th-gen-256gb-16gb-ddr4-ram-156-screen-6-gb-nvidia-1060-gfx-win10-i100854898-s1021400419.html?search=1
"Dell 3185 / AMD A9/ 4GB/ 500 GB /11.6"" 360 Touchpad Laptop",37000.00,https://www.daraz.com.np/products/dell-3185-amd-a9-4gb-500-gb-ssd-116x360-i147587-s2193961.html?search=1
Asus Tuff Gaming FX504 i5 8th Gen/8GB/1TB/4GB Nvidia GTX 1050 Ti Laptop,105990.00,https://www.daraz.com.np/products/asus-tuff-gaming-fx504-i5-8th-gen8gb1tb4gb-nvidia-gtx-1050-ti-laptop-i101558886-s1022338750.html?search=1
Inspiron 3552/ Celeron / 4GB	/ 500GB / HD 15.6'' Laptop - Black,32500.00,https://www.daraz.com.np/products/inspiron-3552-celeron-4gb-500gb-hd-156-laptop-black-i146574-s2190378.html?search=1
Asus Zenbook U331 i7 8th Gen/8GB RAM/256ssd/13.3FHD Laptop,124990.00,https://www.daraz.com.np/products/asus-zenbook-u331-i7-8th-gen8gb-ram256ssd133fhd-laptop-i101544972-s1022330866.html?search=1
"Dell XPS 13 i7 , 7th Gen, 8GB RAM, 256GB SSD/13"" Infinity Edge Touch Display",130000.00,https://www.daraz.com.np/products/dell-xps-13-i7-7th-gen-8gb-ram-256gb-ssd13-infinity-edge-touch-display-i100862035-s1021444071.html?search=1
"ASUS Vivobook X512UA- i3,7th gen,4GB RAM,1TB ROM, screen size 15:6",61250.00,https://www.daraz.com.np/products/asus-vivobook-x512ua-i37th-gen4gb-ram1tb-rom-screen-size-156-i101416061-s1022210581.html?search=1
"Acer Predator Helios 300 Core i7/ 9th Gen/ 256GB/ 16GB DDR4 RAM/ 15.6"" screen/ 6 GB NVIDIA 1660 Ti GFX/ WIN10",190000.00,https://www.daraz.com.np/products/acer-predator-helios-300-core-i7-9th-gen-256gb-16gb-ddr4-ram-156-screen-6-gb-nvidia-1660-ti-gfx-win10-i100440038-s1020734058.html?search=1
"Acer Aspire 7/	i5/ 7th Gen/ 8 GB/ 1TB/ 4GB GTX 1050 Ti Graphics 15.6 Laptop - Black""",95000.00,https://www.daraz.com.np/products/acer-aspire-7i5-7th-gen-8-gb-1tb-4gb-gtx-1050-ti-graphics-156-laptop-black-i431100-s21352420.html?search=1
ACER NITRO 5/I5/8TH/8GB RAM/1 TB HDD/4 GB GTX 1050/15.6/FULL HD,84999.00,https://www.daraz.com.np/products/acer-nitro-5i58th8gb-ram1-tb-hdd4-gb-gtx-1050156full-hd-i100660301-s1021092515.html?search=1
Apple MacBook Pro 15.4 SpaceGray /2.6GHZ/16GB/RP560X/512GB,390000.00,https://www.daraz.com.np/products/apple-macbook-pro-154-spacegray-26ghz16gbrp560x512gb-i101190737-s1021922637.html?search=1
"ASUS Vivobook X412FA -8th i5,4GB RAM,1tb ROM,14 FHD, Fingerprint, HD Webcam",72900.00,https://www.daraz.com.np/products/asus-vivobook-x412fa-8th-i54gb-ram1tb-rom14-fhd-fingerprint-hd-webcam-i101414890-s1022202661.html?search=1
Lenovo Ideapad 330 15 I5 8th Gen 8GB 1TB Nvidia MX150 2GB Graphics 15.6  FHD win 10 Platinum Silver,70990.00,https://www.daraz.com.np/products/lenovo-ideapad-330-15-i5-8th-gen-8gb-1tb-nvidia-mx150-2gb-graphics-156-fhd-win-10-platinum-silver-i100800469-s1021282668.html?search=1
"Dell G7 7588 i7 8750H 8GB, 256GB SSD,GTX 1060 MAXQ 6GB DDR5 15.6 FULL HD IPS, Windows 10 Genuine",148800.00,https://www.daraz.com.np/products/dell-g7-7588-i7-8750h-8gb-256gb-ssdgtx-1060-maxq-6gb-ddr5-156-full-hd-ips-windows-10-genuine-i100510756-s1020870212.html?search=1
